freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.811e+01,6.180e+01,4.507e+02,5.906e+02
1.5,3.422e+02,1.341e+02,2.812e+02,7.575e+02
3.0,4.171e+02,1.153e+02,5.985e+01,5.922e+02
4.5,5.684e+02,1.178e+02,2.884e+02,9.746e+02
6.0,5.547e+02,1.241e+02,1.079e+03,1.758e+03
7.5,5.862e+02,1.283e+02,1.838e+03,2.553e+03
9.0,6.138e+02,1.403e+02,2.605e+03,3.359e+03
10.5,6.256e+02,1.625e+02,3.578e+03,4.366e+03
11.9,6.048e+02,1.360e+02,4.796e+03,5.536e+03
13.4,5.856e+02,1.105e+02,6.159e+03,6.855e+03
14.9,5.307e+02,1.228e+02,8.131e+03,8.785e+03
16.4,4.932e+02,1.278e+02,1.086e+04,1.148e+04
17.9,5.353e+02,1.310e+02,1.414e+04,1.481e+04
19.4,5.682e+02,1.295e+02,1.764e+04,1.834e+04
20.9,4.650e+02,1.128e+02,1.893e+04,1.951e+04
22.4,4.437e+02,1.199e+02,1.924e+04,1.981e+04
23.9,5.149e+02,1.706e+02,2.139e+04,2.208e+04
25.4,5.641e+02,1.698e+02,2.504e+04,2.578e+04
26.9,6.734e+02,1.936e+02,2.957e+04,3.044e+04
28.4,7.009e+02,2.638e+02,3.537e+04,3.634e+04
29.9,6.434e+02,4.371e+02,4.370e+04,4.478e+04
31.4,6.016e+02,6.292e+02,5.272e+04,5.395e+04
32.8,5.520e+02,8.015e+02,6.268e+04,6.404e+04
34.3,6.088e+02,9.934e+02,7.273e+04,7.433e+04
35.8,6.482e+02,1.503e+03,8.205e+04,8.420e+04
37.3,7.442e+02,2.232e+03,9.468e+04,9.765e+04
38.8,8.141e+02,2.757e+03,1.064e+05,1.100e+05
40.3,8.382e+02,3.442e+03,1.209e+05,1.252e+05
41.8,8.606e+02,4.334e+03,1.464e+05,1.516e+05
43.3,1.008e+03,4.411e+03,1.723e+05,1.778e+05
44.8,1.352e+03,4.496e+03,1.975e+05,2.034e+05
46.3,1.635e+03,5.337e+03,2.407e+05,2.476e+05
47.8,2.309e+03,7.591e+03,2.986e+05,3.085e+05
49.3,3.703e+03,1.107e+04,3.656e+05,3.804e+05
50.8,5.840e+03,1.650e+04,4.498e+05,4.722e+05
52.3,8.797e+03,2.917e+04,5.655e+05,6.035e+05
53.7,1.490e+04,5.394e+04,7.110e+05,7.798e+05
55.2,1.978e+04,8.014e+04,8.771e+05,9.771e+05
56.7,2.508e+04,1.083e+05,1.073e+06,1.207e+06
