freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.021e+02,2.913e+02,9.357e+00,4.027e+02
1.5,2.281e+02,2.092e+02,3.132e+01,4.687e+02
3.0,2.718e+02,6.759e+01,3.644e+01,3.758e+02
4.5,3.105e+02,3.141e+02,3.976e+01,6.644e+02
6.0,2.665e+02,1.186e+03,4.027e+01,1.492e+03
7.5,2.236e+02,2.074e+03,4.427e+01,2.342e+03
9.0,2.539e+02,2.971e+03,5.457e+01,3.280e+03
10.5,3.065e+02,3.640e+03,5.572e+01,4.002e+03
12.0,2.729e+02,4.579e+03,5.419e+01,4.907e+03
13.4,2.109e+02,6.195e+03,5.690e+01,6.463e+03
14.9,2.350e+02,8.549e+03,6.493e+01,8.849e+03
16.4,2.829e+02,1.185e+04,8.330e+01,1.221e+04
17.9,3.153e+02,1.531e+04,1.184e+02,1.575e+04
19.4,4.001e+02,1.890e+04,1.255e+02,1.943e+04
20.9,4.491e+02,2.417e+04,9.733e+01,2.471e+04
22.4,4.083e+02,2.872e+04,9.560e+01,2.922e+04
23.9,4.066e+02,3.334e+04,1.236e+02,3.387e+04
25.4,4.503e+02,3.984e+04,1.032e+02,4.039e+04
26.9,4.673e+02,4.739e+04,1.384e+02,4.800e+04
28.4,4.987e+02,5.226e+04,2.269e+02,5.299e+04
29.9,5.119e+02,5.740e+04,3.078e+02,5.822e+04
31.4,5.329e+02,6.816e+04,3.676e+02,6.906e+04
32.9,6.723e+02,8.225e+04,3.991e+02,8.332e+04
34.4,6.958e+02,1.015e+05,5.748e+02,1.028e+05
35.9,7.301e+02,1.240e+05,1.373e+03,1.261e+05
37.4,1.242e+03,1.626e+05,3.395e+03,1.672e+05
38.8,3.249e+03,2.172e+05,4.613e+03,2.250e+05
40.3,9.568e+03,3.200e+05,5.479e+03,3.351e+05
41.8,3.591e+04,4.661e+05,5.540e+03,5.076e+05
43.3,9.975e+04,4.471e+05,2.708e+03,5.495e+05
44.8,1.425e+05,3.503e+05,2.638e+03,4.954e+05
46.3,1.726e+05,3.093e+05,4.587e+03,4.865e+05
47.8,1.555e+05,2.896e+05,7.521e+03,4.526e+05
49.3,1.213e+05,2.987e+05,7.919e+03,4.279e+05
50.8,1.070e+05,3.029e+05,3.487e+03,4.135e+05
52.3,1.044e+05,2.836e+05,1.278e+03,3.893e+05
53.8,1.005e+05,2.571e+05,1.191e+03,3.587e+05
55.3,9.357e+04,2.418e+05,2.085e+03,3.374e+05
56.8,8.769e+04,2.221e+05,2.477e+03,3.123e+05
58.3,8.555e+04,1.949e+05,1.901e+03,2.823e+05
59.8,8.873e+04,1.699e+05,1.544e+03,2.602e+05
61.3,9.276e+04,1.482e+05,1.438e+03,2.424e+05
62.8,9.345e+04,1.277e+05,1.477e+03,2.226e+05
64.3,8.950e+04,1.098e+05,1.524e+03,2.008e+05
65.7,7.849e+04,9.605e+04,1.185e+03,1.757e+05
67.2,6.101e+04,8.393e+04,8.860e+02,1.458e+05
68.7,4.923e+04,6.976e+04,1.017e+03,1.200e+05
70.2,4.710e+04,5.870e+04,1.180e+03,1.070e+05
71.7,4.891e+04,4.899e+04,1.205e+03,9.911e+04
73.2,4.773e+04,4.060e+04,1.656e+03,8.998e+04
74.7,4.559e+04,3.543e+04,2.144e+03,8.316e+04
76.2,4.496e+04,3.104e+04,2.769e+03,7.877e+04
77.7,4.324e+04,2.594e+04,3.671e+03,7.286e+04
79.2,3.960e+04,2.096e+04,4.522e+03,6.508e+04
80.7,3.525e+04,1.770e+04,5.010e+03,5.796e+04
82.2,3.203e+04,1.688e+04,4.748e+03,5.365e+04
83.7,3.284e+04,1.844e+04,4.087e+03,5.536e+04
85.2,4.654e+04,2.894e+04,3.325e+03,7.881e+04
86.7,6.563e+04,3.707e+04,2.382e+03,1.051e+05
88.2,7.506e+04,3.655e+04,1.579e+03,1.132e+05
89.7,7.452e+04,3.240e+04,1.299e+03,1.082e+05
91.1,7.427e+04,3.134e+04,2.073e+03,1.077e+05
92.6,7.706e+04,3.305e+04,3.646e+03,1.138e+05
94.1,7.330e+04,3.447e+04,4.866e+03,1.126e+05
95.6,6.524e+04,3.669e+04,5.992e+03,1.079e+05
97.1,5.362e+04,3.918e+04,6.293e+03,9.909e+04
98.6,3.779e+04,3.979e+04,5.197e+03,8.277e+04
100.1,2.538e+04,3.677e+04,3.976e+03,6.612e+04
101.6,1.812e+04,3.063e+04,3.560e+03,5.231e+04
